base_word,mood,tense,polarity,person,aspect,plurality,inflection
okumak,IND,PRS,POS,3,PROG,SG,['okuyor']
okumak,IND,PRS,POS,3,PROG,PL,['okuyorlar']
okumak,IND,PRS,POS,3,HAB,SG,['okur']
okumak,IND,PRS,POS,3,HAB,PL,['okurlar']
yazmak,IND,PRS,POS,3,PROG,SG,['yazıyor']
yazmak,IND,PRS,POS,3,PROG,PL,['yazıyorlar']
yazmak,IND,PRS,POS,3,HAB,SG,['yazar']
yazmak,IND,PRS,POS,3,HAB,PL,['yazarlar']
öğrenmek,IND,PRS,POS,3,PROG,SG,['öğreniyor']
öğrenmek,IND,PRS,POS,3,PROG,PL,['öğreniyorlar']
öğrenmek,IND,PRS,POS,3,HAB,SG,['öğrenir']
öğrenmek,IND,PRS,POS,3,HAB,PL,['öğrenirler']
oturmak,IND,PRS,POS,3,PROG,SG,['oturuyor']
oturmak,IND,PRS,POS,3,PROG,PL,['oturuyorlar']
oturmak,IND,PRS,POS,3,HAB,SG,['oturur']
oturmak,IND,PRS,POS,3,HAB,PL,['otururlar']
kalkmak,IND,PRS,POS,3,PROG,SG,['kalkıyor']
kalkmak,IND,PRS,POS,3,PROG,PL,['kalkıyorlar']
kalkmak,IND,PRS,POS,3,HAB,SG,['kalkar']
kalkmak,IND,PRS,POS,3,HAB,PL,['kalkarlar']
beklemek,IND,PRS,POS,3,PROG,SG,['bekliyor']
beklemek,IND,PRS,POS,3,PROG,PL,['bekliyorlar']
beklemek,IND,PRS,POS,3,HAB,SG,['bekler']
beklemek,IND,PRS,POS,3,HAB,PL,['beklerler']
duymak,IND,PRS,POS,3,PROG,SG,['duyuyor']
duymak,IND,PRS,POS,3,PROG,PL,['duyuyorlar']
duymak,IND,PRS,POS,3,HAB,SG,['duyar']
duymak,IND,PRS,POS,3,HAB,PL,['duyarlar']
gezmek,IND,PRS,POS,3,PROG,SG,['geziyor']
gezmek,IND,PRS,POS,3,PROG,PL,['geziyorlar']
gezmek,IND,PRS,POS,3,HAB,SG,['gezer']
gezmek,IND,PRS,POS,3,HAB,PL,['gezerler']
savunmak,IND,PRS,POS,3,PROG,SG,['savunuyor']
savunmak,IND,PRS,POS,3,PROG,PL,['savunuyorlar']
savunmak,IND,PRS,POS,3,HAB,SG,['savunur']
savunmak,IND,PRS,POS,3,HAB,PL,['savunurlar']
açmak,IND,PRS,POS,3,PROG,SG,['açıyor']
açmak,IND,PRS,POS,3,PROG,PL,['açıyorlar']
açmak,IND,PRS,POS,3,HAB,SG,['açar']
açmak,IND,PRS,POS,3,HAB,PL,['açarlar']
içmek,IND,PRS,POS,3,PROG,SG,['içiyor']
içmek,IND,PRS,POS,3,PROG,PL,['içiyorlar']
içmek,IND,PRS,POS,3,HAB,SG,['içer']
içmek,IND,PRS,POS,3,HAB,PL,['içerler']
kapatmak,IND,PRS,POS,3,PROG,SG,['kapatıyor']
kapatmak,IND,PRS,POS,3,PROG,PL,['kapatıyorlar']
kapatmak,IND,PRS,POS,3,HAB,SG,['kapatır']
kapatmak,IND,PRS,POS,3,HAB,PL,['kapatırlar']
aramak,IND,PRS,POS,3,PROG,SG,['arıyor']
aramak,IND,PRS,POS,3,PROG,PL,['arıyorlar']
aramak,IND,PRS,POS,3,HAB,SG,['arar']
aramak,IND,PRS,POS,3,HAB,PL,['ararlar']
gülümsemek,IND,PRS,POS,3,PROG,SG,['gülümseyiyor']
gülümsemek,IND,PRS,POS,3,PROG,PL,['gülümseyiyorlar']
gülümsemek,IND,PRS,POS,3,HAB,SG,['gülümser']
gülümsemek,IND,PRS,POS,3,HAB,PL,['gülümserler']
atıştırmak,IND,PRS,POS,3,PROG,SG,['atıştırıyor']
atıştırmak,IND,PRS,POS,3,PROG,PL,['atıştırıyorlar']
atıştırmak,IND,PRS,POS,3,HAB,SG,['atıştırır']
atıştırmak,IND,PRS,POS,3,HAB,PL,['atıştırırlar']
dönmek,IND,PRS,POS,3,PROG,SG,['dönüyor']
dönmek,IND,PRS,POS,3,PROG,PL,['dönüyorlar']
dönmek,IND,PRS,POS,3,HAB,SG,['döner']
dönmek,IND,PRS,POS,3,HAB,PL,['dönerler']
getirmek,IND,PRS,POS,3,PROG,SG,['getiriyor']
getirmek,IND,PRS,POS,3,PROG,PL,['getiriyorlar']
getirmek,IND,PRS,POS,3,HAB,SG,['getirir']
getirmek,IND,PRS,POS,3,HAB,PL,['getirirler']
uyumak,IND,PRS,POS,3,PROG,SG,['uyuyor']
uyumak,IND,PRS,POS,3,PROG,PL,['uyuyorlar']
uyumak,IND,PRS,POS,3,HAB,SG,['uyur']
uyumak,IND,PRS,POS,3,HAB,PL,['uyurlar']
okumak,IND,PST,POS,3,PFV,SG,['okudu']
