base_word,case,definiteness,animacy,gender,plurality,inflection
عام,NOM,INDF,NHUM,MASC,SG,['عام']
عام,NOM,INDF,NHUM,MASC,DU,['عامان']
عام,NOM,INDF,NHUM,MASC,PL,['أعوام']
بلد,NOM,INDF,NHUM,MASC,SG,['بلد']
بلد,NOM,INDF,NHUM,MASC,DU,['بَلَدَان']
بلد,NOM,INDF,NHUM,MASC,PL,"['بُلْدَان', 'بلاد']"
مستشفى,NOM,INDF,NHUM,MASC,SG,['مستشفى']
مستشفى,NOM,INDF,NHUM,MASC,DU,['مستشفيان']
مستشفى,NOM,INDF,NHUM,MASC,PL,['مستشفيات']
منزل,NOM,INDF,NHUM,MASC,SG,['منزل']
منزل,NOM,INDF,NHUM,MASC,DU,['منزلان']
منزل,NOM,INDF,NHUM,MASC,PL,['منازل']
كتاب,NOM,INDF,NHUM,MASC,SG,['كتاب']
كتاب,NOM,INDF,NHUM,MASC,DU,['كتابان']
كتاب,NOM,INDF,NHUM,MASC,PL,['كتب']
ملعب,NOM,INDF,NHUM,MASC,SG,['ملعب']
ملعب,NOM,INDF,NHUM,MASC,DU,['ملعبان']
ملعب,NOM,INDF,NHUM,MASC,PL,['ملاعب']
باب,NOM,INDF,NHUM,MASC,SG,['باب']
باب,NOM,INDF,NHUM,MASC,DU,['بابان']
باب,NOM,INDF,NHUM,MASC,PL,"['أبواب', 'بيبان']"
نهر,NOM,INDF,NHUM,MASC,SG,['نهر']
نهر,NOM,INDF,NHUM,MASC,DU,['نهران']
نهر,NOM,INDF,NHUM,MASC,PL,"['أنهار', 'أنهر', 'نهور']"
كوكب,NOM,INDF,NHUM,MASC,SG,['كوكب']
كوكب,NOM,INDF,NHUM,MASC,DU,['كوكبان']
كوكب,NOM,INDF,NHUM,MASC,PL,['كواكب']
كرسي,NOM,INDF,NHUM,MASC,SG,['كرسي']
كرسي,NOM,INDF,NHUM,MASC,DU,['كرسيان']
كرسي,NOM,INDF,NHUM,MASC,PL,"['كراس', 'كراسي']"
مبنى,NOM,INDF,NHUM,MASC,SG,['مبنى']
مبنى,NOM,INDF,NHUM,MASC,DU,['مبنيان']
مبنى,NOM,INDF,NHUM,MASC,PL,['مبان']
صندوق,NOM,INDF,NHUM,MASC,SG,['صندوق']
صندوق,NOM,INDF,NHUM,MASC,DU,['صندوقان']
صندوق,NOM,INDF,NHUM,MASC,PL,['صناديق']
مطعم,NOM,INDF,NHUM,MASC,SG,['مطعم']
مطعم,NOM,INDF,NHUM,MASC,DU,['مطعمان']
مطعم,NOM,INDF,NHUM,MASC,PL,['مطاعم']
مفتاح,NOM,INDF,NHUM,MASC,SG,['مفتاح']
مفتاح,NOM,INDF,NHUM,MASC,DU,['مفتاحان']
مفتاح,NOM,INDF,NHUM,MASC,PL,['مفاتيح']
قلم,NOM,INDF,NHUM,MASC,SG,['قلم']
قلم,NOM,INDF,NHUM,MASC,DU,['قلمان']
قلم,NOM,INDF,NHUM,MASC,PL,['أقلام']
دفتر,NOM,INDF,NHUM,MASC,SG,['دفتر']
دفتر,NOM,INDF,NHUM,MASC,DU,['دفتران']
دفتر,NOM,INDF,NHUM,MASC,PL,['دفاتر']
معطف,NOM,INDF,NHUM,MASC,SG,['معطف']
معطف,NOM,INDF,NHUM,MASC,DU,['معطفان']
معطف,NOM,INDF,NHUM,MASC,PL,['معاطف']
سيارة,NOM,INDF,NHUM,FEM,SG,['سيارة']
سيارة,NOM,INDF,NHUM,FEM,DU,['سيارتان']
سيارة,NOM,INDF,NHUM,FEM,PL,['سيارات']
سفينة,NOM,INDF,NHUM,FEM,SG,['سفينة']
سفينة,NOM,INDF,NHUM,FEM,DU,['سفينتان']
سفينة,NOM,INDF,NHUM,FEM,PL,"['سفائن', 'سفن']"
طائرة,NOM,INDF,NHUM,FEM,SG,['طائرة']
طائرة,NOM,INDF,NHUM,FEM,DU,['طائرتان']
طائرة,NOM,INDF,NHUM,FEM,PL,['طائرات']
بطاقة,NOM,INDF,NHUM,FEM,SG,['بطاقة']
بطاقة,NOM,INDF,NHUM,FEM,DU,['بطاقتان']
بطاقة,NOM,INDF,NHUM,FEM,PL,"['بطائق', 'بطاقات']"
حقيبة,NOM,INDF,NHUM,FEM,SG,['حقيبة']
حقيبة,NOM,INDF,NHUM,FEM,DU,['حقيبتان']
حقيبة,NOM,INDF,NHUM,FEM,PL,['حقائب']
ساعة,NOM,INDF,NHUM,FEM,SG,['ساعة']
ساعة,NOM,INDF,NHUM,FEM,DU,['ساعتان']
ساعة,NOM,INDF,NHUM,FEM,PL,['ساعات']
قلعة,NOM,INDF,NHUM,FEM,SG,['قلعة']
قلعة,NOM,INDF,NHUM,FEM,DU,['قلعتان']
قلعة,NOM,INDF,NHUM,FEM,PL,"['قلوع', 'قلاع']"
صحيفة,NOM,INDF,NHUM,FEM,SG,['صحيفة']
صحيفة,NOM,INDF,NHUM,FEM,DU,['صحيفتان']
صحيفة,NOM,INDF,NHUM,FEM,PL,['صحف']
آلة,NOM,INDF,NHUM,FEM,SG,['آلة']
آلة,NOM,INDF,NHUM,FEM,DU,['آلتان']
آلة,NOM,INDF,NHUM,FEM,PL,['آلات']
غرفة,NOM,INDF,NHUM,FEM,SG,['غرفة']
غرفة,NOM,INDF,NHUM,FEM,DU,['غرفتان']
غرفة,NOM,INDF,NHUM,FEM,PL,['غرف']
طاولة,NOM,INDF,NHUM,FEM,SG,['طاولة']
طاولة,NOM,INDF,NHUM,FEM,DU,['طاولتان']
طاولة,NOM,INDF,NHUM,FEM,PL,['طاولات']
فراشة,NOM,INDF,NHUM,FEM,SG,['فراشة']
فراشة,NOM,INDF,NHUM,FEM,DU,['فراشتان']
فراشة,NOM,INDF,NHUM,FEM,PL,['فراشات']
شجرة,NOM,INDF,NHUM,FEM,SG,['شجرة']
شجرة,NOM,INDF,NHUM,FEM,DU,['شجرتان']
شجرة,NOM,INDF,NHUM,FEM,PL,"['أشجار', 'شجرات', 'شجر']"
صالة,NOM,INDF,NHUM,FEM,SG,['صالة']
صالة,NOM,INDF,NHUM,FEM,DU,['صالتان']
صالة,NOM,INDF,NHUM,FEM,PL,['صالات']
شقة,NOM,INDF,NHUM,FEM,SG,['شقة']
شقة,NOM,INDF,NHUM,FEM,DU,['شقتان']
شقة,NOM,INDF,NHUM,FEM,PL,['شقق']
مرآة,NOM,INDF,NHUM,FEM,SG,"['مرآة']"
مرآة,NOM,INDF,NHUM,FEM,DU,"['مرآتان']"
مرآة,NOM,INDF,NHUM,FEM,PL,"['مرايا']"
فاكهة,NOM,INDF,NHUM,FEM,SG,['فاكهة']
فاكهة,NOM,INDF,NHUM,FEM,DU,['فاكهتان']
فاكهة,NOM,INDF,NHUM,FEM,PL,['فواكه']
مدرسة,NOM,INDF,NHUM,FEM,SG,['مدرسة']
مدرسة,NOM,INDF,NHUM,FEM,DU,['مدرستان']
مدرسة,NOM,INDF,NHUM,FEM,PL,['مدارس']
