base_word,case,inflection
mökki,inessive,['mökissä']
mökki,adessive,['mökillä']
mökki,illative,['mökkiin']
mökki,elative,['mökistä']
mökki,allative,['mökille']
kylä,inessive,['kylässä']
kylä,adessive,['kylällä']
kylä,illative,['kylään']
kylä,elative,['kylästä']
kylä,allative,['kylälle']
keittiö,inessive,['keittiössä']
keittiö,adessive,['keittiöllä']
keittiö,illative,['keittiöön']
keittiö,elative,['keittiöstä']
keittiö,allative,['keittiölle']
yhteisö,inessive,['yhteisössä']
yhteisö,adessive,['yhteisöllä']
yhteisö,illative,['yhteisöön']
yhteisö,elative,['yhteisöstä']
yhteisö,allative,['yhteisölle']
pysäkki,inessive,['pysäkissä']
pysäkki,adessive,['pysäkillä']
pysäkki,illative,['pysäkille']
pysäkki,elative,['pysäkistä']
pysäkki,allative,['pysäkille']
talo,inessive,['talossa']
talo,adessive,['talolla']
talo,illative,['taloon']
talo,elative,['talosta']
talo,allative,['talolle']
sairaala,inessive,['sairaalassa']
sairaala,adessive,['sairaalalla']
sairaala,illative,['sairaalaan']
sairaala,elative,['sairaalasta']
sairaala,allative,['sairaalalle']
toimisto,inessive,['toimistossa']
toimisto,adessive,['toimistolla']
toimisto,illative,['toimistoon']
toimisto,elative,['toimistosta']
toimisto,allative,['toimistolle']
koulu,inessive,['koulussa']
koulu,adessive,['koululla']
koulu,illative,['kouluun']
koulu,elative,['koulusta']
koulu,allative,['koululle']
kauppa,inessive,['kaupassa']
kauppa,adessive,['kaupalla']
kauppa,illative,['kauppaan']
kauppa,elative,['kaupasta']
kauppa,allative,['kaupalle']
hotelli,inessive,['hotellissa']
hotelli,adessive,['hotellilla']
hotelli,illative,['hotelliin']
hotelli,elative,['hotellista']
hotelli,allative,['hotellille']
museo,inessive,['museossa']
museo,adessive,['museolla']
museo,illative,['museoon']
museo,elative,['museosta']
museo,allative,['museolle']
koti,inessive,['kotona']
koti,adessive,['kodilla']
koti,illative,['kotiin']
koti,elative,['kodista']
koti,allative,['kodille']
puisto,inessive,['puistossa']
puisto,adessive,['puistolla']
puisto,illative,['puistoon']
puisto,elative,['puistosta']
puisto,allative,['puistolle']
kaupunki,inessive,['kaupungissa']
kaupunki,adessive,['kaupungilla']
kaupunki,illative,['kaupunkiin']
kaupunki,elative,['kaupungista']
kaupunki,allative,['kaupungille']
supermarketti,inessive,['supermarketissa']
