base_word,animacy,case,gender,plurality,inflection
важный,,NOM,FEM,SG,['важная']
важный,ANIM,ACC,MASC,SG,['важного']
важный,,GEN,MASC,SG,['важного']
важный,,GEN,NEUT,SG,['важного']
важный,,ACC,NEUT,SG,['важное']
важный,,NOM,NEUT,SG,['важное']
важный,,DAT,FEM,SG,['важной']
важный,,ESS,FEM,SG,['важной']
важный,,GEN,FEM,SG,['важной']
важный,,INS,FEM,SG,['важной']
важный,,ESS,MASC,SG,['важном']
важный,,ESS,NEUT,SG,['важном']
важный,,DAT,MASC,SG,['важному']
важный,,DAT,NEUT,SG,['важному']
важный,,ACC,FEM,SG,['важную']
важный,INAN,ACC,,PL,['важные']
важный,,NOM,,PL,['важные']
важный,INAN,ACC,MASC,SG,['важный']
важный,,NOM,MASC,SG,['важный']
важный,,DAT,,PL,['важным']
важный,,INS,MASC,SG,['важным']
важный,,INS,NEUT,SG,['важным']
важный,,INS,,PL,['важными']
важный,ANIM,ACC,,PL,['важных']
важный,,ESS,,PL,['важных']
важный,,GEN,,PL,['важных']
длинный,,NOM,FEM,SG,['длинная']
длинный,ANIM,ACC,MASC,SG,['длинного']
длинный,,GEN,MASC,SG,['длинного']
длинный,,GEN,NEUT,SG,['длинного']
длинный,,ACC,NEUT,SG,['длинное']
длинный,,NOM,NEUT,SG,['длинное']
длинный,,DAT,FEM,SG,['длинной']
длинный,,ESS,FEM,SG,['длинной']
длинный,,GEN,FEM,SG,['длинной']
длинный,,INS,FEM,SG,['длинной']
длинный,,ESS,MASC,SG,['длинном']
длинный,,ESS,NEUT,SG,['длинном']
длинный,,DAT,MASC,SG,['длинному']
длинный,,DAT,NEUT,SG,['длинному']
длинный,,ACC,FEM,SG,['длинную']
длинный,INAN,ACC,,PL,['длинные']
длинный,,NOM,,PL,['длинные']
длинный,INAN,ACC,MASC,SG,['длинный']
длинный,,NOM,MASC,SG,['длинный']
длинный,,DAT,,PL,['длинным']
длинный,,INS,MASC,SG,['длинным']
длинный,,INS,NEUT,SG,['длинным']
длинный,,INS,,PL,['длинными']
длинный,ANIM,ACC,,PL,['длинных']
длинный,,ESS,,PL,['длинных']
длинный,,GEN,,PL,['длинных']
древний,ANIM,ACC,MASC,SG,['древнего']
древний,,GEN,MASC,SG,['древнего']
древний,,GEN,NEUT,SG,['древнего']
древний,,ACC,NEUT,SG,['древнее']
древний,,NOM,NEUT,SG,['древнее']
древний,,DAT,FEM,SG,['древней']
древний,,ESS,FEM,SG,['древней']
древний,,GEN,FEM,SG,['древней']
древний,,INS,FEM,SG,['древней']
древний,,ESS,MASC,SG,['древнем']
древний,,ESS,NEUT,SG,['древнем']
древний,,DAT,MASC,SG,['древнему']
древний,,DAT,NEUT,SG,['древнему']
древний,INAN,ACC,,PL,['древние']
древний,,NOM,,PL,['древние']
древний,INAN,ACC,MASC,SG,['древний']
древний,,NOM,MASC,SG,['древний']
древний,,DAT,,PL,['древним']
древний,,INS,MASC,SG,['древним']
древний,,INS,NEUT,SG,['древним']
древний,,INS,,PL,['древними']
древний,ANIM,ACC,,PL,['древних']
древний,,ESS,,PL,['древних']
древний,,GEN,,PL,['древних']
древний,,ACC,FEM,SG,['древнюю']
древний,,NOM,FEM,SG,['древняя']
замечательный,,NOM,FEM,SG,['замечательная']
замечательный,ANIM,ACC,MASC,SG,['замечательного']
замечательный,,GEN,MASC,SG,['замечательного']
замечательный,,GEN,NEUT,SG,['замечательного']
замечательный,,ACC,NEUT,SG,['замечательное']
замечательный,,NOM,NEUT,SG,['замечательное']
замечательный,,DAT,FEM,SG,['замечательной']
замечательный,,ESS,FEM,SG,['замечательной']
замечательный,,GEN,FEM,SG,['замечательной']
замечательный,,INS,FEM,SG,['замечательной']
замечательный,,ESS,MASC,SG,['замечательном']
замечательный,,ESS,NEUT,SG,['замечательном']
замечательный,,DAT,MASC,SG,['замечательному']
замечательный,,DAT,NEUT,SG,['замечательному']
замечательный,,ACC,FEM,SG,['замечательную']
замечательный,INAN,ACC,,PL,['замечательные']
замечательный,,NOM,,PL,['замечательные']
замечательный,INAN,ACC,MASC,SG,['замечательный']
замечательный,,NOM,MASC,SG,['замечательный']
замечательный,,DAT,,PL,['замечательным']
замечательный,,INS,MASC,SG,['замечательным']
замечательный,,INS,NEUT,SG,['замечательным']
замечательный,,INS,,PL,['замечательными']
замечательный,ANIM,ACC,,PL,['замечательных']
замечательный,,ESS,,PL,['замечательных']
замечательный,,GEN,,PL,['замечательных']
исторический,,NOM,FEM,SG,['историческая']
исторический,INAN,ACC,,PL,['исторические']
исторический,,NOM,,PL,['исторические']
исторический,INAN,ACC,MASC,SG,['исторический']
исторический,,NOM,MASC,SG,['исторический']
исторический,,DAT,,PL,['историческим']
исторический,,INS,MASC,SG,['историческим']
исторический,,INS,NEUT,SG,['историческим']
исторический,,INS,,PL,['историческими']
исторический,ANIM,ACC,,PL,['исторических']
исторический,,ESS,,PL,['исторических']
исторический,,GEN,,PL,['исторических']
исторический,ANIM,ACC,MASC,SG,['исторического']
исторический,,GEN,MASC,SG,['исторического']
исторический,,GEN,NEUT,SG,['исторического']
исторический,,ACC,NEUT,SG,['историческое']
исторический,,NOM,NEUT,SG,['историческое']
исторический,,DAT,FEM,SG,['исторической']
исторический,,ESS,FEM,SG,['исторической']
исторический,,GEN,FEM,SG,['исторической']
исторический,,INS,FEM,SG,['исторической']
исторический,,ESS,MASC,SG,['историческом']
исторический,,ESS,NEUT,SG,['историческом']
исторический,,DAT,MASC,SG,['историческому']
исторический,,DAT,NEUT,SG,['историческому']
исторический,,ACC,FEM,SG,['историческую']
красивый,,NOM,FEM,SG,['красивая']
красивый,ANIM,ACC,MASC,SG,['красивого']
красивый,,GEN,MASC,SG,['красивого']
красивый,,GEN,NEUT,SG,['красивого']
красивый,,ACC,NEUT,SG,['красивое']
красивый,,NOM,NEUT,SG,['красивое']
красивый,,DAT,FEM,SG,['красивой']
красивый,,ESS,FEM,SG,['красивой']
красивый,,GEN,FEM,SG,['красивой']
красивый,,INS,FEM,SG,['красивой']
красивый,,ESS,MASC,SG,['красивом']
красивый,,ESS,NEUT,SG,['красивом']
красивый,,DAT,MASC,SG,['красивому']
красивый,,DAT,NEUT,SG,['красивому']
красивый,,ACC,FEM,SG,['красивую']
красивый,INAN,ACC,,PL,['красивые']
красивый,,NOM,,PL,['красивые']
красивый,INAN,ACC,MASC,SG,['красивый']
красивый,,NOM,MASC,SG,['красивый']
красивый,,DAT,,PL,['красивым']
красивый,,INS,MASC,SG,['красивым']
красивый,,INS,NEUT,SG,['красивым']
красивый,,INS,,PL,['красивыми']
красивый,ANIM,ACC,,PL,['красивых']
красивый,,ESS,,PL,['красивых']
красивый,,GEN,,PL,['красивых']
маленький,,NOM,FEM,SG,['маленькая']
маленький,INAN,ACC,,PL,['маленькие']
маленький,,NOM,,PL,['маленькие']
маленький,INAN,ACC,MASC,SG,['маленький']
маленький,,NOM,MASC,SG,['маленький']
маленький,,DAT,,PL,['маленьким']
маленький,,INS,MASC,SG,['маленьким']
маленький,,INS,NEUT,SG,['маленьким']
маленький,,INS,,PL,['маленькими']
маленький,ANIM,ACC,,PL,['маленьких']
маленький,,ESS,,PL,['маленьких']
маленький,,GEN,,PL,['маленьких']
маленький,ANIM,ACC,MASC,SG,['маленького']
маленький,,GEN,MASC,SG,['маленького']
