base_word,mood,tense,person,gender,plurality,inflection
ждать,IND,PRS,3,,SG,['ждёт']
ждать,IND,PRS,3,,PL,['ждут']
ждать,IND,PST,3,MASC,SG,['ждал']
ждать,IND,PST,3,FEM,SG,['ждала']
ждать,IND,PST,3,NEUT,SG,['ждало']
ждать,IND,PST,3,,PL,['ждали']
гулять,IND,PRS,3,,SG,['гуляет']
гулять,IND,PRS,3,,PL,['гуляют']
гулять,IND,PST,3,MASC,SG,['гулял']
гулять,IND,PST,3,FEM,SG,['гуляла']
гулять,IND,PST,3,NEUT,SG,['гуляло']
гулять,IND,PST,3,,PL,['гуляли']
идти,IND,PRS,3,,SG,['идёт']
идти,IND,PRS,3,,PL,['идут']
идти,IND,PST,3,MASC,SG,['шёл']
идти,IND,PST,3,FEM,SG,['шла']
идти,IND,PST,3,NEUT,SG,['шло']
идти,IND,PST,3,,PL,['шли']
играть,IND,PRS,3,,SG,['играет']
играть,IND,PRS,3,,PL,['играют']
играть,IND,PST,3,MASC,SG,['играл']
играть,IND,PST,3,FEM,SG,['играла']
играть,IND,PST,3,NEUT,SG,['играло']
играть,IND,PST,3,,PL,['играли']
работать,IND,PRS,3,,SG,['работает']
работать,IND,PRS,3,,PL,['работают']
работать,IND,PST,3,MASC,SG,['работал']
работать,IND,PST,3,FEM,SG,['работала']
работать,IND,PST,3,NEUT,SG,['работало']
работать,IND,PST,3,,PL,['работали']
голосовать,IND,PRS,3,,SG,['голосует']
голосовать,IND,PRS,3,,PL,['голосуют']
голосовать,IND,PST,3,MASC,SG,['голосовал']
голосовать,IND,PST,3,FEM,SG,['голосовала']
голосовать,IND,PST,3,NEUT,SG,['голосовало']
голосовать,IND,PST,3,,PL,['голосовали']
сражаться,IND,PRS,3,,SG,['сражается']
сражаться,IND,PRS,3,,PL,['сражаются']
сражаться,IND,PST,3,MASC,SG,['сражался']
сражаться,IND,PST,3,FEM,SG,['сражалась']
сражаться,IND,PST,3,NEUT,SG,['сражалось']
сражаться,IND,PST,3,,PL,['сражались']
расписаться,IND,PST,3,MASC,SG,['расписался']
расписаться,IND,PST,3,FEM,SG,['расписалась']
расписаться,IND,PST,3,NEUT,SG,['расписалось']
расписаться,IND,PST,3,,PL,['расписались']
разогнаться,IND,PST,3,MASC,SG,['разогнался']
разогнаться,IND,PST,3,FEM,SG,['разогналась']
разогнаться,IND,PST,3,NEUT,SG,['разогналось']
разогнаться,IND,PST,3,,PL,['разогнались']
поглядеть,IND,PST,3,MASC,SG,['поглядел']
поглядеть,IND,PST,3,FEM,SG,['поглядела']
поглядеть,IND,PST,3,NEUT,SG,['поглядело']
поглядеть,IND,PST,3,,PL,['поглядели']
рыскать,IND,PRS,3,,SG,['рыщет']
рыскать,IND,PRS,3,,PL,['рыщут']
рыскать,IND,PST,3,MASC,SG,['рыскал']
рыскать,IND,PST,3,FEM,SG,['рыскала']
рыскать,IND,PST,3,NEUT,SG,['рыскало']
рыскать,IND,PST,3,,PL,['рыскали']
прислушиваться,IND,PRS,3,,SG,['прислушивается']
прислушиваться,IND,PRS,3,,PL,['прислушиваются']
прислушиваться,IND,PST,3,MASC,SG,['прислушивался']
прислушиваться,IND,PST,3,FEM,SG,['прислушивалась']
прислушиваться,IND,PST,3,NEUT,SG,['прислушивалось']
прислушиваться,IND,PST,3,,PL,['прислушивались']
стряпать,IND,PRS,3,,SG,['стряпает']
стряпать,IND,PRS,3,,PL,['стряпают']
стряпать,IND,PST,3,MASC,SG,['стряпал']
стряпать,IND,PST,3,FEM,SG,['стряпала']
стряпать,IND,PST,3,NEUT,SG,['стряпало']
стряпать,IND,PST,3,,PL,['стряпали']
считать,IND,PRS,3,,SG,['считает']
считать,IND,PRS,3,,PL,['считают']
считать,IND,PST,3,MASC,SG,['считал']
считать,IND,PST,3,FEM,SG,['считала']
считать,IND,PST,3,NEUT,SG,['считало']
считать,IND,PST,3,,PL,['считали']
откликаться,IND,PRS,3,,SG,['откликается']
откликаться,IND,PRS,3,,PL,['откликаются']
откликаться,IND,PST,3,MASC,SG,['откликался']
откликаться,IND,PST,3,FEM,SG,['откликалась']
откликаться,IND,PST,3,NEUT,SG,['откликалось']
откликаться,IND,PST,3,,PL,['откликались']
осведомляться,IND,PRS,3,,SG,['осведомляется']
осведомляться,IND,PRS,3,,PL,['осведомляются']
осведомляться,IND,PST,3,MASC,SG,['осведомлялся']
осведомляться,IND,PST,3,FEM,SG,['осведомлялась']
осведомляться,IND,PST,3,NEUT,SG,['осведомлялось']
осведомляться,IND,PST,3,,PL,['осведомлялись']
соглашаться,IND,PRS,3,,SG,['соглашается']
соглашаться,IND,PRS,3,,PL,['соглашаются']
соглашаться,IND,PST,3,MASC,SG,['соглашался']
соглашаться,IND,PST,3,FEM,SG,['соглашалась']
соглашаться,IND,PST,3,NEUT,SG,['соглашалось']
соглашаться,IND,PST,3,,PL,['соглашались']
убираться,IND,PRS,3,,SG,['убирается']
убираться,IND,PRS,3,,PL,['убираются']
убираться,IND,PST,3,MASC,SG,['убирался']
убираться,IND,PST,3,FEM,SG,['убиралась']
убираться,IND,PST,3,NEUT,SG,['убиралось']
убираться,IND,PST,3,,PL,['убирались']
