base_word,animacy,gender,plurality,inflection
בית,NHUM,MASC,SG,['בית']
בית,NHUM,MASC,PL,['בתים']
דלת,NHUM,FEM,SG,['דלת']
דלת,NHUM,FEM,PL,['דלתות']
חלון,NHUM,MASC,SG,['חלון']
חלון,NHUM,MASC,PL,['חלונות']
כיסא,NHUM,MASC,SG,['כיסא']
כיסא,NHUM,MASC,PL,['כיסאות']
שולחן,NHUM,MASC,SG,['שולחן']
שולחן,NHUM,MASC,PL,['שולחנות']
מכונית,NHUM,FEM,SG,['מכונית']
מכונית,NHUM,FEM,PL,['מכוניות']
ספר,NHUM,MASC,SG,['ספר']
ספר,NHUM,MASC,PL,['ספרים']
עיר,NHUM,FEM,SG,['עיר']
עיר,NHUM,FEM,PL,['ערים']
מדינה,NHUM,FEM,SG,['מדינה']
מדינה,NHUM,FEM,PL,['מדינות']
ארץ,NHUM,FEM,SG,['ארץ']
ארץ,NHUM,FEM,PL,['ארצות']
שמש,NHUM,FEM,SG,['שמש']
שמש,NHUM,FEM,PL,['שמשות']
מפתח,NHUM,MASC,SG,['מפתח']
מפתח,NHUM,MASC,PL,['מפתחות']
טלפון,NHUM,MASC,SG,['טלפון']
טלפון,NHUM,MASC,PL,['טלפונים']
מחשב,NHUM,MASC,SG,['מחשב']
מחשב,NHUM,MASC,PL,['מחשבים']
עיתון,NHUM,MASC,SG,['עיתון']
עיתון,NHUM,MASC,PL,['עיתונים']
מטרייה,NHUM,FEM,SG,['מטרייה']
מטרייה,NHUM,FEM,PL,['מטריות']
תמונה,NHUM,FEM,SG,['תמונה']
תמונה,NHUM,FEM,PL,['תמונות']
