base_word,case,definiteness,animacy,gender,plurality,inflection
جندي,NOM,INDF,HUM,MASC,SG,['جندي']
جندي,NOM,INDF,HUM,MASC,DU,['جنديان']
جندي,NOM,INDF,HUM,MASC,PL,"['أجناد', 'جنود']"
جندي,NOM,INDF,HUM,FEM,SG,['جندية']
جندي,NOM,INDF,HUM,FEM,DU,['جنديتان']
جندي,NOM,INDF,HUM,FEM,PL,['جنديات']
وزير,NOM,INDF,HUM,MASC,SG,['وزير']
وزير,NOM,INDF,HUM,MASC,DU,['وزيران']
وزير,NOM,INDF,HUM,MASC,PL,['وزراء']
وزير,NOM,INDF,HUM,FEM,SG,['وزيرة']
وزير,NOM,INDF,HUM,FEM,DU,['وزيرتان']
وزير,NOM,INDF,HUM,FEM,PL,['وزيرات']
تاجر,NOM,INDF,HUM,MASC,SG,['تاجر']
تاجر,NOM,INDF,HUM,MASC,DU,['تاجران']
تاجر,NOM,INDF,HUM,MASC,PL,"['تاجرون', 'تجار']"
تاجر,NOM,INDF,HUM,FEM,SG,['تاجرة']
تاجر,NOM,INDF,HUM,FEM,DU,['تاجرتان']
تاجر,NOM,INDF,HUM,FEM,PL,['تاجرات']
ملك,NOM,INDF,HUM,MASC,SG,['ملك']
ملك,NOM,INDF,HUM,MASC,DU,['ملكان']
ملك,NOM,INDF,HUM,MASC,PL,"['ملوك']"
ملك,NOM,INDF,HUM,FEM,SG,['ملكة']
ملك,NOM,INDF,HUM,FEM,DU,['ملكتان']
ملك,NOM,INDF,HUM,FEM,PL,['ملكات']
رئيس,NOM,INDF,HUM,MASC,SG,['رئيس']
رئيس,NOM,INDF,HUM,MASC,DU,['رئيسان']
رئيس,NOM,INDF,HUM,MASC,PL,['رؤساء']
رئيس,NOM,INDF,HUM,FEM,SG,['رئيسة']
رئيس,NOM,INDF,HUM,FEM,DU,['رئيستان']
رئيس,NOM,INDF,HUM,FEM,PL,['رئيسات']
نائب,NOM,INDF,HUM,MASC,SG,['نائب']
نائب,NOM,INDF,HUM,MASC,DU,['نائبان']
نائب,NOM,INDF,HUM,MASC,PL,['نواب']
نائب,NOM,INDF,HUM,FEM,SG,['نائبة']
نائب,NOM,INDF,HUM,FEM,DU,['نائبتان']
نائب,NOM,INDF,HUM,FEM,PL,"['نوائبُ', 'نائبات']"
كاتب,NOM,INDF,HUM,MASC,SG,['كاتب']
كاتب,NOM,INDF,HUM,MASC,DU,['كاتبان']
كاتب,NOM,INDF,HUM,MASC,PL,"['كتبة', 'كُتَّاب']"
كاتب,NOM,INDF,HUM,FEM,SG,['كاتبة']
كاتب,NOM,INDF,HUM,FEM,DU,['كاتبتان']
كاتب,NOM,INDF,HUM,FEM,PL,['كاتبات']
قائد,NOM,INDF,HUM,MASC,SG,['قائد']
قائد,NOM,INDF,HUM,MASC,DU,['قائدان']
قائد,NOM,INDF,HUM,MASC,PL,"['قادة', 'قواد', 'قود', 'قائدون']"
قائد,NOM,INDF,HUM,FEM,SG,['قائدة']
قائد,NOM,INDF,HUM,FEM,DU,['قائدتان']
قائد,NOM,INDF,HUM,FEM,PL,"['قادات', 'قائدات']"
أمير,NOM,INDF,HUM,MASC,SG,['أمير']
أمير,NOM,INDF,HUM,MASC,DU,['أميران']
أمير,NOM,INDF,HUM,MASC,PL,['أمراء']
أمير,NOM,INDF,HUM,FEM,SG,['أميرة']
أمير,NOM,INDF,HUM,FEM,DU,['أميرتان']
أمير,NOM,INDF,HUM,FEM,PL,['أميرات']
عضو,NOM,INDF,HUM,MASC,SG,['عضو']
عضو,NOM,INDF,HUM,MASC,DU,['عضوان']
عضو,NOM,INDF,HUM,MASC,PL,['أعضاء']
عضو,NOM,INDF,HUM,FEM,SG,['عضوة']
عضو,NOM,INDF,HUM,FEM,DU,['عضوتان']
عضو,NOM,INDF,HUM,FEM,PL,['عضوات']
مؤسس,NOM,INDF,HUM,MASC,SG,['مؤسس']
مؤسس,NOM,INDF,HUM,MASC,DU,['مؤسسان']
مؤسس,NOM,INDF,HUM,MASC,PL,['مؤسسون']
مؤسس,NOM,INDF,HUM,FEM,SG,['مؤسسة']
مؤسس,NOM,INDF,HUM,FEM,DU,['مؤسستان']
مؤسس,NOM,INDF,HUM,FEM,PL,['مؤسسات']
