base_word,voice,mood,person,aspect,gender,plurality,inflection
قرأ,ACT,IND,3,PFV,MASC,SG,['قرأ']
قرأ,ACT,IND,3,PFV,MASC,DU,['قرآ']
قرأ,ACT,IND,3,PFV,MASC,PL,"['قرأوا', 'قرؤوا']"
قرأ,ACT,IND,3,PFV,FEM,SG,['قرأت']
قرأ,ACT,IND,3,PFV,FEM,DU,['قرأتا']
قرأ,ACT,IND,3,PFV,FEM,PL,['قرأن']
قرأ,ACT,IND,3,IPFV,MASC,SG,['يقرأ']
قرأ,ACT,IND,3,IPFV,MASC,DU,"['يقرآن', 'يقرأان']"
قرأ,ACT,IND,3,IPFV,MASC,PL,"['يقرأون', 'يقرؤون']"
قرأ,ACT,IND,3,IPFV,FEM,SG,['تقرأ']
قرأ,ACT,IND,3,IPFV,FEM,DU,"['تقرآن', 'تقرأان']"
قرأ,ACT,IND,3,IPFV,FEM,PL,['يقرأن']
كتب,ACT,IND,3,PFV,MASC,SG,['كتب']
كتب,ACT,IND,3,PFV,MASC,DU,['كتبا']
كتب,ACT,IND,3,PFV,MASC,PL,['كتبوا']
كتب,ACT,IND,3,PFV,FEM,SG,['كتبت']
كتب,ACT,IND,3,PFV,FEM,DU,['كتبتا']
كتب,ACT,IND,3,PFV,FEM,PL,['كتبن']
كتب,ACT,IND,3,IPFV,MASC,SG,['يكتب']
كتب,ACT,IND,3,IPFV,MASC,DU,['يكتبان']
كتب,ACT,IND,3,IPFV,MASC,PL,['يكتبون']
كتب,ACT,IND,3,IPFV,FEM,SG,['تكتب']
كتب,ACT,IND,3,IPFV,FEM,DU,['تكتبان']
كتب,ACT,IND,3,IPFV,FEM,PL,['يكتبن']
تَعَلَّمَ,ACT,IND,3,PFV,MASC,SG,['تَعَلَّمَ']
تَعَلَّمَ,ACT,IND,3,PFV,MASC,DU,['تَعَلَّمَا']
تَعَلَّمَ,ACT,IND,3,PFV,MASC,PL,['تَعَلَّمُوا']
تَعَلَّمَ,ACT,IND,3,PFV,FEM,SG,['تَعَلَّمَتْ']
تَعَلَّمَ,ACT,IND,3,PFV,FEM,DU,['تَعَلَّمَتَا']
تَعَلَّمَ,ACT,IND,3,PFV,FEM,PL,['تَعَلَّمْنَ']
تَعَلَّمَ,ACT,IND,3,IPFV,MASC,SG,['يتعلم']
تَعَلَّمَ,ACT,IND,3,IPFV,MASC,DU,['يتعلمان']
تَعَلَّمَ,ACT,IND,3,IPFV,MASC,PL,['يتعلمون']
تَعَلَّمَ,ACT,IND,3,IPFV,FEM,SG,['تتعلم']
تَعَلَّمَ,ACT,IND,3,IPFV,FEM,DU,['تتعلمان']
تَعَلَّمَ,ACT,IND,3,IPFV,FEM,PL,['يَتَعَلَّمْنَ']
جلس,ACT,IND,3,PFV,MASC,SG,['جلس']
جلس,ACT,IND,3,PFV,MASC,DU,['جلسا']
جلس,ACT,IND,3,PFV,MASC,PL,['جلسوا']
جلس,ACT,IND,3,PFV,FEM,SG,['جلست']
جلس,ACT,IND,3,PFV,FEM,DU,['جلستا']
جلس,ACT,IND,3,PFV,FEM,PL,['جلسن']
جلس,ACT,IND,3,IPFV,MASC,SG,['يجلس']
جلس,ACT,IND,3,IPFV,MASC,DU,['يجلسان']
جلس,ACT,IND,3,IPFV,MASC,PL,['يجلسون']
جلس,ACT,IND,3,IPFV,FEM,SG,['تجلس']
جلس,ACT,IND,3,IPFV,FEM,DU,['تجلسان']
جلس,ACT,IND,3,IPFV,FEM,PL,['يجلسن']
نهض,ACT,IND,3,PFV,MASC,SG,['نهض']
نهض,ACT,IND,3,PFV,MASC,DU,['نهضا']
نهض,ACT,IND,3,PFV,MASC,PL,['نهضوا']
نهض,ACT,IND,3,PFV,FEM,SG,['نهضت']
نهض,ACT,IND,3,PFV,FEM,DU,['نهضتا']
نهض,ACT,IND,3,PFV,FEM,PL,['نهضن']
نهض,ACT,IND,3,IPFV,MASC,SG,['ينهض']
نهض,ACT,IND,3,IPFV,MASC,DU,['ينهضان']
نهض,ACT,IND,3,IPFV,MASC,PL,['ينهضون']
نهض,ACT,IND,3,IPFV,FEM,SG,['تنهض']
نهض,ACT,IND,3,IPFV,FEM,DU,['تنهضان']
نهض,ACT,IND,3,IPFV,FEM,PL,['ينهضن']
اِنْتَظَرَ,ACT,IND,3,PFV,MASC,SG,['اِنْتَظَرَ']
اِنْتَظَرَ,ACT,IND,3,PFV,MASC,DU,['اِنْتَظَرَا']
اِنْتَظَرَ,ACT,IND,3,PFV,MASC,PL,['اِنْتَظَرُوا']
اِنْتَظَرَ,ACT,IND,3,PFV,FEM,SG,['اِنْتَظَرَتْ']
اِنْتَظَرَ,ACT,IND,3,PFV,FEM,DU,['اِنْتَظَرَتَا']
اِنْتَظَرَ,ACT,IND,3,PFV,FEM,PL,['اِنْتَظَرْنَ']
اِنْتَظَرَ,ACT,IND,3,IPFV,MASC,SG,['ينتظر']
