base_word,case,definiteness,animacy,gender,plurality,inflection
جديد,NOM,INDF,HUM,MASC,SG,['جديد']
جديد,NOM,INDF,HUM,MASC,DU,['جديدان']
جديد,NOM,INDF,HUM,MASC,PL,['جدد']
جديد,NOM,INDF,HUM,FEM,SG,['جديدة']
جديد,NOM,INDF,HUM,FEM,DU,['جديدتان']
جديد,NOM,INDF,HUM,FEM,PL,['جديدات']
قديم,NOM,INDF,HUM,MASC,SG,['قديم']
قديم,NOM,INDF,HUM,MASC,DU,['قديمان']
قديم,NOM,INDF,HUM,MASC,PL,['قدماء']
قديم,NOM,INDF,HUM,FEM,SG,['قديمة']
قديم,NOM,INDF,HUM,FEM,DU,['قديمتان']
قديم,NOM,INDF,HUM,FEM,PL,['قديمات']
طويل,NOM,INDF,HUM,MASC,SG,['طويل']
طويل,NOM,INDF,HUM,MASC,DU,['طويلان']
طويل,NOM,INDF,HUM,MASC,PL,['طوال']
طويل,NOM,INDF,HUM,FEM,SG,['طويلة']
طويل,NOM,INDF,HUM,FEM,DU,['طويلتان']
طويل,NOM,INDF,HUM,FEM,PL,['طويلات']
متوتر,NOM,INDF,HUM,MASC,SG,['متوتر']
متوتر,NOM,INDF,HUM,MASC,DU,['متوتران']
متوتر,NOM,INDF,HUM,MASC,PL,['متوترون']
متوتر,NOM,INDF,HUM,FEM,SG,['متوترة']
متوتر,NOM,INDF,HUM,FEM,DU,['متوترتان']
متوتر,NOM,INDF,HUM,FEM,PL,['متوترات']
جميل,NOM,INDF,HUM,MASC,SG,['جميل']
جميل,NOM,INDF,HUM,MASC,DU,['جميلان']
جميل,NOM,INDF,HUM,MASC,PL,['جميلون']
جميل,NOM,INDF,HUM,FEM,SG,['جميلة']
جميل,NOM,INDF,HUM,FEM,DU,['جميلتان']
جميل,NOM,INDF,HUM,FEM,PL,['جميلات']
مهم,NOM,INDF,HUM,MASC,SG,['مهم']
مهم,NOM,INDF,HUM,MASC,DU,['مهمان']
مهم,NOM,INDF,HUM,MASC,PL,['مهمون']
