base_word,animacy,case,plurality,inflection
maa,NHUM,NOM,SG,['maa']
maa,NHUM,NOM,PL,['maat']
maa,NHUM,ACC,SG,['maa']
maa,NHUM,ACC,PL,['maat']
maa,NHUM,GEN,SG,['maan']
maa,NHUM,GEN,PL,['maiden']
maa,NHUM,PRT,SG,['maata']
maa,NHUM,PRT,PL,['maita']
maa,NHUM,FRML,SG,['maana']
maa,NHUM,FRML,PL,['maina']
maa,NHUM,TRANS,SG,['maaksi']
maa,NHUM,TRANS,PL,['maiksi']
sairaala,NHUM,NOM,SG,['sairaala']
sairaala,NHUM,NOM,PL,['sairaalat']
sairaala,NHUM,ACC,SG,['sairaala']
sairaala,NHUM,ACC,PL,['sairaalat']
sairaala,NHUM,GEN,SG,['sairaalan']
sairaala,NHUM,GEN,PL,['sairaaloiden']
sairaala,NHUM,PRT,SG,['sairaalaa']
sairaala,NHUM,PRT,PL,['sairaaloita']
sairaala,NHUM,FRML,SG,['sairaalana']
sairaala,NHUM,FRML,PL,['sairaaloina']
sairaala,NHUM,TRANS,SG,['sairaalaksi']
sairaala,NHUM,TRANS,PL,['sairaaloiksi']
talo,NHUM,NOM,SG,['talo']
talo,NHUM,NOM,PL,['talot']
talo,NHUM,ACC,SG,['talo']
talo,NHUM,ACC,PL,['talot']
talo,NHUM,GEN,SG,['talon']
talo,NHUM,GEN,PL,['talojen']
talo,NHUM,PRT,SG,['taloa']
talo,NHUM,PRT,PL,['taloja']
talo,NHUM,FRML,SG,['talona']
talo,NHUM,FRML,PL,['taloina']
talo,NHUM,TRANS,SG,['taloksi']
talo,NHUM,TRANS,PL,['taloiksi']
kirja,NHUM,NOM,SG,['kirja']
kirja,NHUM,NOM,PL,['kirjat']
kirja,NHUM,ACC,SG,['kirja']
kirja,NHUM,ACC,PL,['kirjat']
kirja,NHUM,GEN,SG,['kirjan']
kirja,NHUM,GEN,PL,['kirjojen']
kirja,NHUM,PRT,SG,['kirjaa']
kirja,NHUM,PRT,PL,['kirjoja']
kirja,NHUM,FRML,SG,['kirjana']
kirja,NHUM,FRML,PL,['kirjoina']
kirja,NHUM,TRANS,SG,['kirjaksi']
kirja,NHUM,TRANS,PL,['kirjoiksi']
kenttä,NHUM,NOM,SG,['kenttä']
kenttä,NHUM,NOM,PL,['kentät']
kenttä,NHUM,ACC,SG,['kenttä']
kenttä,NHUM,ACC,PL,['kentät']
kenttä,NHUM,GEN,SG,['kentän']
kenttä,NHUM,GEN,PL,['kenttien']
kenttä,NHUM,PRT,SG,['kenttää']
kenttä,NHUM,PRT,PL,['kenttiä']
kenttä,NHUM,FRML,SG,['kenttänä']
kenttä,NHUM,FRML,PL,['kenttinä']
kenttä,NHUM,TRANS,SG,['kentäksi']
kenttä,NHUM,TRANS,PL,['kentiksi']
ovi,NHUM,NOM,SG,['ovi']
ovi,NHUM,NOM,PL,['ovet']
ovi,NHUM,ACC,SG,['ovi']
ovi,NHUM,ACC,PL,['ovet']
ovi,NHUM,GEN,SG,['oven']
ovi,NHUM,GEN,PL,['ovien']
ovi,NHUM,PRT,SG,['ovea']
ovi,NHUM,PRT,PL,['ovia']
ovi,NHUM,FRML,SG,['ovena']
ovi,NHUM,FRML,PL,['ovina']
ovi,NHUM,TRANS,SG,['oveksi']
ovi,NHUM,TRANS,PL,['oviksi']
joki,NHUM,NOM,SG,['joki']
joki,NHUM,NOM,PL,['joet']
joki,NHUM,ACC,SG,['joki']
joki,NHUM,ACC,PL,['joet']
joki,NHUM,GEN,SG,['joen']
joki,NHUM,GEN,PL,['jokien']
joki,NHUM,PRT,SG,['jokea']
joki,NHUM,PRT,PL,['jokia']
joki,NHUM,FRML,SG,['jokena']
joki,NHUM,FRML,PL,['jokina']
joki,NHUM,TRANS,SG,['joeksi']
joki,NHUM,TRANS,PL,['joiksi']
planeetta,NHUM,NOM,SG,['planeetta']
planeetta,NHUM,NOM,PL,['planeetat']
planeetta,NHUM,ACC,SG,['planeetta']
planeetta,NHUM,ACC,PL,['planeetat']
planeetta,NHUM,GEN,SG,['planeetan']
planeetta,NHUM,GEN,PL,['planeettojen']
planeetta,NHUM,PRT,SG,['planeettaa']
planeetta,NHUM,PRT,PL,['planeettoja']
planeetta,NHUM,FRML,SG,['planeettana']
planeetta,NHUM,FRML,PL,['planeettoina']
planeetta,NHUM,TRANS,SG,['planeetaksi']
planeetta,NHUM,TRANS,PL,['planeetoiksi']
tuoli,NHUM,NOM,SG,['tuoli']
tuoli,NHUM,NOM,PL,['tuolit']
tuoli,NHUM,ACC,SG,['tuoli']
tuoli,NHUM,ACC,PL,['tuolit']
tuoli,NHUM,GEN,SG,['tuolin']
tuoli,NHUM,GEN,PL,['tuolien']
tuoli,NHUM,PRT,SG,['tuolia']
tuoli,NHUM,PRT,PL,['tuoleja']
tuoli,NHUM,FRML,SG,['tuolina']
tuoli,NHUM,FRML,PL,['tuoleina']
tuoli,NHUM,TRANS,SG,['tuoliksi']
tuoli,NHUM,TRANS,PL,['tuoleiksi']
rakennus,NHUM,NOM,SG,['rakennus']
rakennus,NHUM,NOM,PL,['rakennukset']
rakennus,NHUM,ACC,SG,['rakennus']
rakennus,NHUM,ACC,PL,['rakennukset']
rakennus,NHUM,GEN,SG,['rakennuksen']
rakennus,NHUM,GEN,PL,['rakennusten']
rakennus,NHUM,PRT,SG,['rakennusta']
rakennus,NHUM,PRT,PL,['rakennuksia']
rakennus,NHUM,FRML,SG,['rakennuksena']
rakennus,NHUM,FRML,PL,['rakennuksina']
rakennus,NHUM,TRANS,SG,['rakennukseksi']
rakennus,NHUM,TRANS,PL,['rakennuksiksi']
ravintola,NHUM,NOM,SG,['ravintola']
ravintola,NHUM,NOM,PL,['ravintolat']
ravintola,NHUM,ACC,SG,['ravintola']
ravintola,NHUM,ACC,PL,['ravintolat']
ravintola,NHUM,GEN,SG,['ravintolan']
ravintola,NHUM,GEN,PL,['ravintoloiden']
ravintola,NHUM,PRT,SG,['ravintolaa']
ravintola,NHUM,PRT,PL,['ravintoloita']
ravintola,NHUM,FRML,SG,['ravintolana']
ravintola,NHUM,FRML,PL,['ravintoloina']
ravintola,NHUM,TRANS,SG,['ravintolaksi']
ravintola,NHUM,TRANS,PL,['ravintoloiksi']
avain,NHUM,NOM,SG,['avain']
avain,NHUM,NOM,PL,['avaimet']
avain,NHUM,ACC,SG,['avain']
avain,NHUM,ACC,PL,['avaimet']
avain,NHUM,GEN,SG,['avaimen']
avain,NHUM,GEN,PL,['avaimien']
avain,NHUM,PRT,SG,['avainta']
avain,NHUM,PRT,PL,['avaimia']
avain,NHUM,FRML,SG,['avaimena']
avain,NHUM,FRML,PL,['avaimina']
avain,NHUM,TRANS,SG,['avaimeksi']
avain,NHUM,TRANS,PL,['avaimiksi']
kynä,NHUM,NOM,SG,['kynä']
kynä,NHUM,NOM,PL,['kynät']
kynä,NHUM,ACC,SG,['kynä']
kynä,NHUM,ACC,PL,['kynät']
kynä,NHUM,GEN,SG,['kynän']
kynä,NHUM,GEN,PL,['kynien']
kynä,NHUM,PRT,SG,['kynää']
kynä,NHUM,PRT,PL,['kyniä']
kynä,NHUM,FRML,SG,['kynänä']
kynä,NHUM,FRML,PL,['kyninä']
kynä,NHUM,TRANS,SG,['kynäksi']
kynä,NHUM,TRANS,PL,['kyniksi']
vihko,NHUM,NOM,SG,['vihko']
vihko,NHUM,NOM,PL,"['vihot', 'vihkot']"
vihko,NHUM,ACC,SG,['vihko']
vihko,NHUM,ACC,PL,"['vihot', 'vihkot']"
vihko,NHUM,GEN,SG,"['vihon', 'vihkon']"
vihko,NHUM,GEN,PL,['vihkojen']
vihko,NHUM,PRT,SG,['vihkoa']
vihko,NHUM,PRT,PL,['vihkoja']
vihko,NHUM,FRML,SG,['vihkona']
vihko,NHUM,FRML,PL,['vihkoina']
vihko,NHUM,TRANS,SG,"['vihoksi', 'vihkoksi']"
vihko,NHUM,TRANS,PL,"['vihoiksi', 'vihkoiksi']"
takki,NHUM,NOM,SG,['takki']
takki,NHUM,NOM,PL,['takit']
takki,NHUM,ACC,SG,['takki']
takki,NHUM,ACC,PL,['takit']
takki,NHUM,GEN,SG,['takin']
takki,NHUM,GEN,PL,['takkien']
takki,NHUM,PRT,SG,['takkia']
takki,NHUM,PRT,PL,['takkeja']
takki,NHUM,FRML,SG,['takkina']
takki,NHUM,FRML,PL,['takkeina']
takki,NHUM,TRANS,SG,['takiksi']
takki,NHUM,TRANS,PL,['takeiksi']
auto,NHUM,NOM,SG,['auto']
auto,NHUM,NOM,PL,['autot']
auto,NHUM,ACC,SG,['auto']
auto,NHUM,ACC,PL,['autot']
auto,NHUM,GEN,SG,['auton']
auto,NHUM,GEN,PL,['autojen']
auto,NHUM,PRT,SG,['autoa']
auto,NHUM,PRT,PL,['autoja']
auto,NHUM,FRML,SG,['autona']
auto,NHUM,FRML,PL,['autoina']
auto,NHUM,TRANS,SG,['autoksi']
auto,NHUM,TRANS,PL,['autoiksi']
laiva,NHUM,NOM,SG,['laiva']
laiva,NHUM,NOM,PL,['laivat']
laiva,NHUM,ACC,SG,['laiva']
laiva,NHUM,ACC,PL,['laivat']
laiva,NHUM,GEN,SG,['laivan']
laiva,NHUM,GEN,PL,['laivojen']
laiva,NHUM,PRT,SG,['laivaa']
laiva,NHUM,PRT,PL,['laivoja']
laiva,NHUM,FRML,SG,['laivana']
laiva,NHUM,FRML,PL,['laivoina']
