base_word,case,plurality,gender,inflection
страна,ACC,SG,FEM,['страну']
страна,NOM,SG,FEM,['страна']
страна,NOM,PL,FEM,['страны']
страна,GEN,SG,FEM,['страны']
страна,GEN,PL,FEM,['стран']
страна,DAT,SG,FEM,['стране']
страна,DAT,PL,FEM,['странам']
страна,INS,SG,FEM,['страной']
страна,INS,PL,FEM,['странами']
страна,ESS,SG,FEM,['стране']
страна,ESS,PL,FEM,['странах']
больница,ACC,SG,FEM,['больницу']
больница,NOM,SG,FEM,['больница']
больница,NOM,PL,FEM,['больницы']
больница,GEN,SG,FEM,['больницы']
больница,GEN,PL,FEM,['больниц']
больница,DAT,SG,FEM,['больнице']
больница,DAT,PL,FEM,['больницам']
больница,INS,SG,FEM,['больницей']
больница,INS,PL,FEM,['больницами']
больница,ESS,SG,FEM,['больнице']
больница,ESS,PL,FEM,['больницах']
стадион,ACC,SG,MASC,['стадион']
стадион,NOM,SG,MASC,['стадион']
стадион,NOM,PL,MASC,['стадионы']
стадион,GEN,SG,MASC,['стадиона']
стадион,GEN,PL,MASC,['стадионов']
стадион,DAT,SG,MASC,['стадиону']
стадион,DAT,PL,MASC,['стадионам']
стадион,INS,SG,MASC,['стадионом']
стадион,INS,PL,MASC,['стадионами']
стадион,ESS,SG,MASC,['стадионе']
стадион,ESS,PL,MASC,['стадионах']
звезда,ACC,SG,FEM,['звезду']
звезда,NOM,SG,FEM,['звезда']
звезда,NOM,PL,FEM,['звёзды']
звезда,GEN,SG,FEM,['звезды']
звезда,GEN,PL,FEM,['звёзд']
звезда,DAT,SG,FEM,['звезде']
звезда,DAT,PL,FEM,['звёздам']
звезда,INS,SG,FEM,['звездой']
звезда,INS,PL,FEM,['звёздами']
звезда,ESS,SG,FEM,['звезде']
звезда,ESS,PL,FEM,['звёздах']
кресло,ACC,SG,NEUT,['кресло']
кресло,NOM,SG,NEUT,['кресло']
кресло,NOM,PL,NEUT,['кресла']
кресло,GEN,SG,NEUT,['кресла']
кресло,GEN,PL,NEUT,['кресел']
кресло,DAT,SG,NEUT,['креслу']
кресло,DAT,PL,NEUT,['креслам']
кресло,INS,SG,NEUT,['креслом']
кресло,INS,PL,NEUT,['креслами']
кресло,ESS,SG,NEUT,['кресле']
кресло,ESS,PL,NEUT,['креслах']
здание,ACC,SG,NEUT,['здание']
здание,NOM,SG,NEUT,['здание']
здание,NOM,PL,NEUT,['здания']
здание,GEN,SG,NEUT,['здания']
здание,GEN,PL,NEUT,['зданий']
здание,DAT,SG,NEUT,['зданию']
